[2021-08-06 16:58:44] local.INFO: Time : 2021-08-06 16:58:44 | IP : ::1 | User : Admin  
[2021-08-06 17:03:05] local.INFO: Time : 2021-08-06 17:03:05 | IP : ::1 | User : सामान्य प्रशासन  
[2021-08-07 06:27:32] local.INFO: Time : 2021-08-07 06:27:32 | IP : ::1 | User : Admin  
[2021-08-07 06:31:33] local.INFO: Time : 2021-08-07 06:31:33 | IP : ::1 | User : सामान्य प्रशासन  
[2021-08-07 07:52:39] local.INFO: Time : 2021-08-07 07:52:39 | IP : ::1 | User : सामान्य प्रशासन  
[2021-08-07 07:53:22] local.INFO: Time : 2021-08-07 07:53:22 | IP : ::1 | User : Admin  
[2021-08-07 07:53:50] local.INFO: Time : 2021-08-07 07:53:50 | IP : ::1 | User : सामान्य प्रशासन  
[2021-08-07 07:55:25] local.INFO: Time : 2021-08-07 07:55:25 | IP : ::1 | User : Admin  
[2021-08-07 11:15:51] local.INFO: Time : 2021-08-07 11:15:51 | IP : ::1 | User : Admin  
[2021-08-07 14:43:33] local.INFO: Time : 2021-08-07 14:43:33 | IP : ::1 | User : Admin  
[2021-08-07 14:49:00] local.INFO: Time : 2021-08-07 14:49:00 | IP : ::1 | User : सामान्य प्रशासन  
[2021-08-07 15:12:33] local.INFO: Time : 2021-08-07 15:12:33 | IP : ::1 | User : Admin  
[2021-08-07 15:58:07] local.INFO: Time : 2021-08-07 15:58:07 | IP : ::1 | User : Admin  
[2021-08-10 10:38:02] local.INFO: Time : 2021-08-10 10:38:02 | IP : ::1 | User : Admin  
[2021-08-10 10:40:45] local.INFO: Time : 2021-08-10 10:40:45 | IP : ::1 | User : Admin  
[2021-08-10 13:31:40] local.INFO: Time : 2021-08-10 13:31:40 | IP : ::1 | User : Admin  
[2021-08-10 13:33:55] local.INFO: Time : 2021-08-10 13:33:55 | IP : ::1 | User : Admin  
[2021-08-10 13:53:37] local.INFO: Time : 2021-08-10 13:53:37 | IP : ::1 | User : Admin  
[2021-08-10 14:05:23] local.INFO: Time : 2021-08-10 14:05:23 | IP : ::1 | User : Admin  
[2021-08-11 05:52:44] local.INFO: Time : 2021-08-11 05:52:44 | IP : ::1 | User : Admin  
[2021-08-11 06:25:44] local.INFO: Time : 2021-08-11 06:25:44 | IP : ::1 | User : Admin  
[2021-08-11 06:27:07] local.INFO: Time : 2021-08-11 06:27:07 | IP : ::1 | User : Test1  
[2021-08-11 06:27:30] local.INFO: Time : 2021-08-11 06:27:30 | IP : ::1 | User : सामान्य प्रशासन  
[2021-08-11 09:51:49] local.INFO: Time : 2021-08-11 09:51:49 | IP : ::1 | User : Admin  
[2021-08-11 10:08:04] local.INFO: Time : 2021-08-11 10:08:04 | IP : ::1 | User : Admin  
