[2021-08-06 16:55:11] local.INFO: Time : 2021-08-06 16:55:11 | IP : ::1 | User : Admin  
[2021-08-06 17:02:44] local.INFO: Time : 2021-08-06 17:02:44 | IP : ::1 | User : सामान्य प्रशासन  
[2021-08-06 17:08:53] local.INFO: Time : 2021-08-06 17:08:53 | IP : ::1 | User : सामान्य प्रशासन  
[2021-08-07 06:27:17] local.INFO: Time : 2021-08-07 06:27:17 | IP : ::1 | User : Admin  
[2021-08-07 06:28:45] local.INFO: Time : 2021-08-07 06:28:45 | IP : ::1 | User : सामान्य प्रशासन  
[2021-08-07 07:52:11] local.INFO: Time : 2021-08-07 07:52:11 | IP : ::1 | User : सामान्य प्रशासन  
[2021-08-07 07:52:52] local.INFO: Time : 2021-08-07 07:52:52 | IP : ::1 | User : Admin  
[2021-08-07 07:53:42] local.INFO: Time : 2021-08-07 07:53:42 | IP : ::1 | User : सामान्य प्रशासन  
[2021-08-07 07:54:01] local.INFO: Time : 2021-08-07 07:54:01 | IP : ::1 | User : Admin  
[2021-08-07 11:15:48] local.INFO: Time : 2021-08-07 11:15:48 | IP : ::1 | User : Admin  
[2021-08-07 14:37:42] local.INFO: Time : 2021-08-07 14:37:42 | IP : ::1 | User : Admin  
[2021-08-07 14:45:47] local.INFO: Time : 2021-08-07 14:45:47 | IP : ::1 | User : सामान्य प्रशासन  
[2021-08-07 14:49:13] local.INFO: Time : 2021-08-07 14:49:13 | IP : ::1 | User : Admin  
[2021-08-07 15:27:43] local.INFO: Time : 2021-08-07 15:27:43 | IP : ::1 | User : Admin  
[2021-08-10 05:18:36] local.INFO: Time : 2021-08-10 05:18:36 | IP : ::1 | User : Admin  
[2021-08-10 10:37:57] local.INFO: Time : 2021-08-10 10:37:57 | IP : ::1 | User : Admin  
[2021-08-10 10:40:39] local.INFO: Time : 2021-08-10 10:40:39 | IP : ::1 | User : Admin  
[2021-08-10 13:31:30] local.INFO: Time : 2021-08-10 13:31:30 | IP : ::1 | User : Admin  
[2021-08-10 13:31:56] local.INFO: Time : 2021-08-10 13:31:56 | IP : ::1 | User : Admin  
[2021-08-10 13:44:59] local.INFO: Time : 2021-08-10 13:44:59 | IP : ::1 | User : Admin  
[2021-08-10 13:53:57] local.INFO: Time : 2021-08-10 13:53:57 | IP : ::1 | User : Admin  
[2021-08-11 05:44:16] local.INFO: Time : 2021-08-11 05:44:16 | IP : ::1 | User : Admin  
[2021-08-11 05:53:11] local.INFO: Time : 2021-08-11 05:53:11 | IP : ::1 | User : Admin  
[2021-08-11 06:26:09] local.INFO: Time : 2021-08-11 06:26:09 | IP : ::1 | User : Test1  
[2021-08-11 06:27:20] local.INFO: Time : 2021-08-11 06:27:20 | IP : ::1 | User : सामान्य प्रशासन  
[2021-08-11 06:35:39] local.INFO: Time : 2021-08-11 06:35:39 | IP : ::1 | User : Admin  
[2021-08-11 10:08:01] local.INFO: Time : 2021-08-11 10:08:01 | IP : ::1 | User : Admin  
[2021-08-11 10:28:11] local.INFO: Time : 2021-08-11 10:28:11 | IP : ::1 | User : Admin  
[2021-08-11 10:28:28] local.INFO: Time : 2021-08-11 10:28:28 | IP : ::1 | User : सामान्य प्रशासन  
[2021-08-11 10:30:31] local.INFO: Time : 2021-08-11 10:30:31 | IP : ::1 | User : Admin  
[2021-08-11 10:45:56] local.INFO: Time : 2021-08-11 10:45:56 | IP : ::1 | User : Admin  
[2021-08-11 10:46:38] local.INFO: Time : 2021-08-11 10:46:38 | IP : ::1 | User : Admin  
[2021-08-11 10:47:16] local.INFO: Time : 2021-08-11 10:47:16 | IP : ::1 | User : Admin  
[2021-08-11 10:51:02] local.INFO: Time : 2021-08-11 10:51:02 | IP : ::1 | User : Admin  
[2021-08-11 10:51:19] local.INFO: Time : 2021-08-11 10:51:19 | IP : ::1 | User : Admin  
[2021-08-11 10:54:41] local.INFO: Time : 2021-08-11 10:54:41 | IP : ::1 | User : Admin  
[2021-08-11 10:58:22] local.INFO: Time : 2021-08-11 10:58:22 | IP : ::1 | User : Admin  
[2021-08-11 11:09:51] local.INFO: Time : 2021-08-11 11:09:51 | IP : ::1 | User : Admin  
[2021-08-11 11:10:55] local.INFO: Time : 2021-08-11 11:10:55 | IP : ::1 | User : Admin  
[2021-08-11 11:13:58] local.INFO: Time : 2021-08-11 11:13:58 | IP : ::1 | User : Admin  
[2021-08-11 12:12:19] local.INFO: Time : 2021-08-11 12:12:19 | IP : ::1 | User : Admin  
[2021-08-11 12:14:59] local.INFO: Time : 2021-08-11 12:14:59 | IP : ::1 | User : Admin  
[2021-08-11 12:16:02] local.INFO: Time : 2021-08-11 12:16:02 | IP : ::1 | User : Admin  
[2021-08-11 12:16:34] local.INFO: Time : 2021-08-11 12:16:34 | IP : ::1 | User : Admin  
[2021-08-11 12:58:09] local.INFO: Time : 2021-08-11 12:58:09 | IP : ::1 | User : Admin  
[2021-08-11 12:59:37] local.INFO: Time : 2021-08-11 12:59:37 | IP : ::1 | User : Admin  
[2021-08-11 13:00:28] local.INFO: Time : 2021-08-11 13:00:28 | IP : ::1 | User : Admin  
[2021-08-11 13:07:51] local.INFO: Time : 2021-08-11 13:07:51 | IP : ::1 | User : Admin  
[2021-08-11 13:09:17] local.INFO: Time : 2021-08-11 13:09:17 | IP : ::1 | User : Admin  
[2021-08-11 13:14:10] local.INFO: Time : 2021-08-11 13:14:10 | IP : ::1 | User : Admin  
[2021-08-11 13:14:36] local.INFO: Time : 2021-08-11 13:14:36 | IP : ::1 | User : सामान्य प्रशासन  
[2021-08-11 13:15:35] local.INFO: Time : 2021-08-11 13:15:35 | IP : ::1 | User : वित्त विभाग  
[2021-08-11 15:07:36] local.INFO: Time : 2021-08-11 15:07:36 | IP : 150.242.199.197 | User : Admin  
[2021-08-11 15:08:05] local.INFO: Time : 2021-08-11 15:08:05 | IP : 150.242.199.197 | User : Admin  
[2021-08-11 15:09:34] local.INFO: Time : 2021-08-11 15:09:34 | IP : 150.242.199.197 | User : Admin  
[2021-08-12 05:07:25] local.INFO: Time : 2021-08-12 05:07:25 | IP : 152.57.119.136 | User : Admin  
[2021-08-12 05:15:37] local.INFO: Time : 2021-08-12 05:15:37 | IP : 152.57.119.136 | User : Admin  
[2021-08-12 05:17:09] local.INFO: Time : 2021-08-12 05:17:09 | IP : 152.57.119.136 | User : Admin  
[2021-08-12 05:30:14] local.INFO: Time : 2021-08-12 05:30:14 | IP : 152.57.119.136 | User : Admin  
[2021-08-12 05:31:25] local.INFO: Time : 2021-08-12 05:31:25 | IP : 152.57.119.136 | User : Admin  
[2021-08-12 05:33:12] local.INFO: Time : 2021-08-12 05:33:12 | IP : 152.57.119.136 | User : Admin  
[2021-08-12 06:16:01] local.INFO: Time : 2021-08-12 06:16:01 | IP : 152.57.119.136 | User : शिक्षण विभाग (प्राथमिक)  
[2021-08-12 06:18:39] local.INFO: Time : 2021-08-12 06:18:39 | IP : 152.57.119.136 | User : महिला व बाल विकास विभाग  
[2021-08-12 06:19:16] local.INFO: Time : 2021-08-12 06:19:16 | IP : 152.57.119.136 | User : महिला व बाल विकास विभाग  
[2021-08-12 06:21:18] local.INFO: Time : 2021-08-12 06:21:18 | IP : 152.57.119.136 | User : Admin  
[2021-08-12 06:43:51] local.INFO: Time : 2021-08-12 06:43:51 | IP : 150.242.199.197 | User : Admin  
[2021-08-12 07:33:24] local.INFO: Time : 2021-08-12 07:33:24 | IP : 150.242.199.197 | User : Admin  
[2021-08-12 08:07:54] local.INFO: Time : 2021-08-12 08:07:54 | IP : 152.57.119.136 | User : Admin  
[2021-08-12 08:22:21] local.INFO: Time : 2021-08-12 08:22:21 | IP : 152.57.119.136 | User : वित्त विभाग  
[2021-08-12 08:23:52] local.INFO: Time : 2021-08-12 08:23:52 | IP : 152.57.119.136 | User : महिला व बाल विकास विभाग  
[2021-08-12 08:24:56] local.INFO: Time : 2021-08-12 08:24:56 | IP : 152.57.119.136 | User : शिक्षण विभाग (प्राथमिक)  
[2021-08-12 08:25:58] local.INFO: Time : 2021-08-12 08:25:58 | IP : 152.57.119.136 | User : वित्त विभाग  
[2021-08-17 07:35:04] local.INFO: Time : 2021-08-17 07:35:04 | IP : 150.242.199.70 | User : Admin  
